,Case,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량
0,0.0,6.0,0.0,34.5587392462147,64.0545283620457,666.6218408032178,1.7,1282.8312141729507,1282.8312141729507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,6.0,1.0,25.2587975327642,50.4161455013189,543.8551241163206,2.2516859097712594,1303.7265060400102,2586.5577202129607,0.0,0.0,0.0,0.0,14.94,14.94,14.94,14.94
2,0.0,6.0,2.0,23.1519179618677,72.9334196392566,471.4826950134372,2.487033694879537,1458.6959857645977,4045.2537059775586,0.0,0.0,0.0,0.0,0.0,14.94,0.0,14.94
3,0.0,6.0,3.0,24.3247319355424,81.65166715,449.650224233697,2.413326107459042,1417.388347506399,5462.642053483958,0.0,0.0,478.4000701331253,478.4000701331253,157.6239073224852,172.5639073224852,636.0239774556105,650.9639774556106
4,0.0,6.0,4.0,23.3187348189127,61.3714053309293,421.73505689805876,1.882912868423464,1258.9397972057075,6721.581850689665,0.0,0.0,492.32342066559573,970.7234907987211,95.91444230542876,268.478349627914,588.2378629710245,1239.201840426635
5,0.0,6.0,5.0,13.5533905097611,80.5735055905401,483.861405344578,3.1642913197247635,1831.4207618259825,8553.002612515647,0.0,0.0,100.13164059263343,1070.8551313913545,60.8257450844578,329.30409471237175,160.95738567709122,1400.1592261037263
6,0.0,6.0,6.0,24.6756259659425,37.5107898683771,588.5053955569833,3.166301281715824,2125.2562121564606,10678.258824672108,0.0,0.0,511.57962330286375,1582.434754694218,256.09560984500774,585.3997045573794,767.6752331478715,2167.8344592515978
7,0.0,6.0,7.0,24.6033855802391,69.1351479875784,557.1433971869861,3.1851752278641516,1963.826332473244,12642.085157145351,18255.19,18255.19,9763.320000000009,11345.754754694226,65.6682250980209,651.0679296554003,28084.17822509803,30252.012684349625
8,0.0,6.0,8.0,31.445679235127002,40.3891333486274,513.5737491709552,1.7,1886.524975741959,14528.610132887312,18555.3176999999,36810.5076999999,2599.4260843676057,13945.180839061833,105.20193784750316,756.2698675029036,21259.94572221501,51511.958406564634
9,0.0,6.0,9.0,26.8544010993598,66.1155976806916,736.4229972059663,2.652011747759203,1348.3850051131417,15876.995138000453,2845.825863831618,39656.33356383152,926.2257579662785,14871.406597028112,277.30054161214775,1033.5704091150512,4049.3521634100443,55561.31056997468
