,Case,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량
0,0.0,7.0,0.0,28.8765777741476,55.23398236265,370.6833333,2.504918647504768,1251.865,1251.865,0.0,0.0,0.0,0.0,119.63560122885406,119.63560122885406,119.63560122885406,119.63560122885406
1,0.0,7.0,1.0,20.6087693815789,53.8313487025225,488.4115212911322,4.07503957993151,1284.9688146166172,2536.833814616617,0.0,0.0,0.0,0.0,0.0,119.63560122885406,0.0,119.63560122885406
2,0.0,7.0,2.0,17.0902269728475,63.3749676363104,460.77794649857435,3.937368619402636,1269.5355885878084,3806.369403204426,0.0,0.0,0.0,0.0,39.2553707586311,158.89097198748516,39.2553707586311,158.89097198748516
3,0.0,7.0,3.0,26.0353536447419,64.0486741243401,608.2570507352447,4.828726402597718,1712.0639693457526,5518.433372550178,0.0,0.0,0.0,0.0,0.0,158.89097198748516,0.0,158.89097198748516
4,0.0,7.0,4.0,21.9851941551028,51.6001093511446,363.0833333,1.7,1251.865,6770.298372550178,0.0,0.0,0.0,0.0,3744.1794941185217,3903.0704661060067,3744.1794941185217,3903.0704661060067
5,0.0,7.0,5.0,24.8854169883279,62.9969595409824,436.98899205348994,2.165301570664255,1336.5702890457508,8106.868661595929,0.0,0.0,911.630353168923,911.630353168923,241.1012209987307,4144.171687104737,1152.7315741676537,5055.80204027366
6,0.0,7.0,6.0,27.4642708207133,78.2837319318826,586.0317456236338,3.792646374331013,1891.8626958068453,9998.731357402774,2414.34115204782,2414.34115204782,6005.514302197922,6917.144655366845,0.0,4144.171687104737,8419.855454245742,13475.657494519402
7,0.0,7.0,7.0,26.2387028403652,70.2153908081446,541.7586337386088,3.1102155389020023,1251.865,11250.596357402774,604.2439927390715,3018.5851447868913,2693.051918439666,9610.196573806512,0.0,4144.171687104737,3297.2959111787377,16772.95340569814
8,0.0,7.0,8.0,26.3643108070918,75.2928713142528,484.31909779427906,1.7,2202.194408889884,13452.79076629266,3399.943321680592,6418.528466467484,1307.8780638880553,10918.074637694566,0.0,4144.171687104737,4707.821385568647,21480.774791266787
9,0.0,7.0,9.0,24.0407442369485,71.1635344783342,492.3727849322907,2.447070469090626,2463.66013366113,15916.450899953788,15461.525744636212,21880.054211103696,524.8345423127498,11442.909180007317,2500.3961864964094,6644.567873601147,18486.75647344537,39967.53126471216
